year,clok.uclan.ac.uk.csv,create.canterbury.ac.uk.csv,eprints.cardiff.ac.uk.csv,eprints.glos.ac.uk.csv,eprints.hud.ac.uk.csv,eprints.keele.ac.uk.csv,eprints.kingston.ac.uk.csv,eprints.lincoln.ac.uk.csv,eprints.mdx.ac.uk.csv,eprints.nottingham.ac.uk.csv,eprints.soton.ac.uk.csv,eprints.whiterose.ac.uk.csv,eprints.worc.ac.uk.csv,epubs.surrey.ac.uk.csv,irep.ntu.ac.uk.csv,kar.kent.ac.uk.csv,openaccess.city.ac.uk.csv,publications.aston.ac.uk.csv,ray.yorksj.ac.uk.csv,repository.falmouth.ac.uk.csv,researchonline.ljmu.ac.uk.csv,researchspace.bathspa.ac.uk.csv,roar.uel.ac.uk.csv,shura.shu.ac.uk.csv,strathprints.strath.ac.uk.csv,sure.sunderland.ac.uk.csv,uir.ulster.ac.uk.csv,usir.salford.ac.uk.csv,wrap.warwick.ac.uk.csv,total_count
2000,100,176,1188,23,288,5,392,156,208,29,3028,234,30,711,816,941,56,129,3,1,4,52,10,136,482,28,502,120,49,9897
2001,135,144,1975,34,365,9,521,215,231,41,4217,474,32,883,1374,888,72,175,7,3,6,66,24,170,1196,88,532,185,90,14152
2002,192,175,2082,33,402,5,561,273,271,45,4604,644,39,908,1458,868,83,236,7,6,2,76,37,199,1222,72,558,243,108,15409
2003,197,217,2379,61,459,13,633,303,315,39,4766,689,56,1044,1562,1066,86,268,18,9,5,84,56,227,1426,126,607,277,116,17104
2004,200,206,2550,63,549,16,715,340,354,74,5083,820,75,1297,1748,1217,103,298,21,6,7,96,54,258,1530,119,706,375,117,18997
2005,255,250,2652,71,678,26,823,395,372,86,5260,920,67,1549,1613,1251,123,291,24,10,17,111,56,291,1653,135,693,430,170,20272
2006,307,246,2968,69,753,34,849,433,487,136,5650,950,106,2091,1564,1366,149,353,32,12,22,144,94,342,1717,170,794,518,230,22586
2007,328,417,3260,78,862,42,1026,567,501,153,5610,935,152,2334,1599,1545,239,451,39,15,25,143,123,357,1853,164,988,522,318,24646
2008,471,446,4072,135,1083,58,1016,596,561,140,6200,906,189,2477,1554,1582,392,399,24,13,33,175,133,488,2386,275,1100,568,480,27952
2009,532,604,4073,114,1277,50,1119,729,652,156,6018,892,228,2477,1543,1570,379,495,38,16,44,178,145,652,2582,367,1191,662,577,29360
2010,596,527,4375,155,1310,69,1163,882,619,213,6036,907,216,2665,1641,1540,496,485,64,13,59,203,143,537,2200,342,1311,689,605,30061
2011,660,327,4102,143,1315,79,1084,889,567,261,5850,983,243,2785,1573,1636,538,505,70,22,106,234,155,564,2341,318,1242,720,695,30007
2012,686,337,4062,158,1361,96,951,1012,525,442,5621,1377,257,2779,1491,1591,693,489,82,33,126,227,146,595,2151,296,1200,450,825,30059
2013,675,357,4150,189,1344,157,908,1038,599,721,5796,2438,271,2540,1533,1764,933,531,98,53,197,290,242,547,2141,354,1156,487,894,32403
2014,794,331,4214,242,1334,289,1051,1111,784,1542,5703,4076,309,2345,1644,1807,987,494,148,95,435,317,266,728,2175,266,1113,846,1100,36546
2015,832,419,4101,222,1351,646,1007,1140,827,1861,5800,5821,291,2244,1780,1724,974,450,178,94,952,302,310,799,2010,317,1143,832,1334,39761
2016,934,442,4488,262,1381,836,1031,1070,794,3293,5590,9031,319,1761,1613,1736,1118,559,207,126,1158,340,333,826,2150,281,1024,839,1997,45539
2017,831,425,4405,259,1240,803,874,977,765,3400,4985,10448,282,1505,1359,1757,995,575,210,57,1097,207,281,816,2146,267,886,764,2126,44742
