Institution,Total Articles and Conference Items,Records Returned,Public Records Returned,Records Returned %,Public Records Returned %,URL,Total (all types)
Aston University,13751,3123,2797,22.71%,20.34%,http://publications.aston.ac.uk/,23600
Cardiff University,69084,13378,11572,19.36%,16.75%,http://eprints.cardiff.ac.uk/,86274
Canterbury Christ Church University,6857,909,691,13.26%,10.08%,http://create.canterbury.ac.uk/,10700
University of Central Lancashire,9148,3735,2338,40.83%,25.56%,http://clok.uclan.ac.uk/,13120
City University London,8637,7892,7310,91.37%,84.64%,http://openaccess.city.ac.uk/,11731
University of Southampton,109568,26429,19253,24.12%,17.57%,https://eprints.soton.ac.uk/,136244
Falmouth University,591,248,202,41.96%,34.18%,http://repository.falmouth.ac.uk/,1458
Nottingham Trent University,21099,4334,4025,20.54%,19.08%,http://irep.ntu.ac.uk/,32159
Keele University,3407,2811,2360,82.51%,69.27%,http://eprints.keele.ac.uk/,4024
University of Kent,32232,5668,4208,17.59%,13.06%,http://kar.kent.ac.uk/,47859
Kingston University,17539,2147,1398,12.24%,7.97%,http://eprints.kingston.ac.uk/,25016
Liverpool John Moores University,4492,4189,3582,93.25%,79.74%,http://researchonline.ljmu.ac.uk/,5805
Middlesex University,9946,1770,1381,17.80%,13.88%,http://eprints.mdx.ac.uk/,16619
University of Nottingham,13343,12296,10182,92.15%,76.31%,http://eprints.nottingham.ac.uk/,26008
York St John University,1256,472,349,37.58%,27.79%,http://ray.yorksj.ac.uk/,1990
Bath Spa University,3637,439,309,12.07%,8.50%,http://researchspace.bathspa.ac.uk/,8141
University of East London,2676,1732,1661,64.72%,62.07%,http://roar.uel.ac.uk/,4650
Sheffield Hallam University,9154,3213,2415,35.10%,26.38%,http://shura.shu.ac.uk/,13088
University of Sunderland,4151,615,410,14.82%,9.88%,http://sure.sunderland.ac.uk/,6085
University of Surrey,41107,14055,8952,34.19%,21.78%,http://epubs.surrey.ac.uk/,50223
University of Sussex,31522,9093,6286,28.85%,19.94%,http://sro.sussex.ac.uk/,44179
University of Ulster,19777,2919,1476,14.76%,7.46%,http://uir.ulster.ac.uk/,26220
University of Gloucestershire,2417,934,755,38.64%,31.24%,https://eprints.glos.ac.uk/,3879
University of Huddersfield,18952,3790,2514,20.00%,13.27%,http://eprints.hud.ac.uk/,28090
University of Lincoln,13164,6605,3348,50.17%,25.43%,http://eprints.lincoln.ac.uk/,17757
University of Salford,10101,5875,2359,58.16%,23.35%,http://usir.salford.ac.uk/,14594
University of Strathclyde,36498,12535,11120,34.34%,30.47%,https://strathprints.strath.ac.uk/,46949
University of Worcester,3396,1328,838,39.10%,24.68%,http://eprints.worc.ac.uk/,4564
University of Warwick,12163,11251,9706,92.50%,79.80%,http://wrap.warwick.ac.uk/,20532
White Rose Consortium: University of Leeds; The University of Sheffield; University of York,45232,37768,20317,83.50%,44.92%,http://eprints.whiterose.ac.uk/,55038
